Name,,,Principal,Phone Number,Email
,,,,,
"CollegeofDairyScience&Technology,Kolahalamedu,Idukki(CDI)",code_set.php?code=Q0RJ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0RJ,DRDINKERSINGH,9188749016,spocdstklmd@kvasu.ac.in
,,,,,
"CollegeofDairyScienceandTechnology,Pookode(CDP)",code_set.php?code=Q0RQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0RQ,SMT.ARCHANACHANDRAN,4936255964,spobtechpkd@kvasu.ac.in
,,,,,
"CollegeofDairyScienceandTechnology,Thrissur(CDT)",code_set.php?code=Q0RU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0RU,DR.P.SUDHEERBABU,4872372861,deancdstmty@kvasu.ac.in
,,,,,
"CollegeofDairyScienceandTechnology,Thiruvananthapuram(CDV)",code_set.php?code=Q0RW,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0RW,BEENARL,4712491288,officecdsttvm@kvasu.ac.in
,,,,,
"CollegeofFoodTechnology,Chalakkudy(CFT)",code_set.php?code=Q0ZU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0ZU,DRSNRAJAKUMAR,4802748016,cfttmzy@kvasu.ac.in
,,,,,
"KUFOS,SchoolofOceanEngineeringandUnderwaterTechnology,Ernakulam(COU)",code_set.php?code=Q09V,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q09V,DR.VMVICTORGEORGE,4842703782,registrar@kufos.ac.in
,,,,,
"GovernmentEngineeringCollege,Idukki(IDK)",code_set.php?code=SURL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SURL,DRSUMESHDIVAKARAN,04862-233250,principal@gecidukki.ac.in
,,,,,
"KelappajiCollegeofAgriculturalEngineeringandTechnology,Tavanur(KCT)",code_set.php?code=S0NU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S0NU,DR.SATHIANK.K.,4942686214,deanengg@kau.in
,,,,,
"GovernmentEngineeringCollege,Kozhikkode(KKE)",code_set.php?code=S0tF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S0tF,DR.SHEEBAVS,4952383210,principal@geckkd.ac.in
,,,,,
"GovernmentCollegeofEngineering,Kannur(KNR)",code_set.php?code=S05S,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S05S,DR.C.SREEKUMAR,4972780227,principal@gcek.ac.in
,,,,,
"GovernmentRajivGandhiInstituteofTechnology,Kottayam(KTE)",code_set.php?code=S1RF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S1RF,DR.JALAJAMJ,4812506153,principal@rit.ac.in
,,,,,
"MarAthanasiusCollegeofEngineering,Kothamangalam(MAC)",code_set.php?code=TUFD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUFD,DRSOLLYGEORGE,4852823383,principal@mace.ac.in
,,,,,
"NSSCollegeofEngineering,Palakkad(NSS)",code_set.php?code=TlNT,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TlNT,DR.SUDHAT,4912555900,principal@nssce.ac.in
,,,,,
"GovernmentEngineeringCollege,Palakkad(PKD)",code_set.php?code=UEtE,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UEtE,DR.PCREGHURAJ,4662260350,principal@gecskp.ac.in
,,,,,
"GovernmentEngineeringCollege,Thrissur(TCR)",code_set.php?code=VENS,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VENS,DR.JAYANANDB.,4872334590,principal@gectcr.ac.in
,,,,,
"TKMCollegeofEngineering,Kollam(TKM)",code_set.php?code=VEtN,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VEtN,DR.AYOOBS,4742712022,principal@tkmce.ac.in
,,,,,
"GovernmentEngineeringCollegeBartonHill,Thiruvananthapuram(TRV)",code_set.php?code=VFJW,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VFJW,DR.RAJASREEM.S.,4712300484,principal@gecbh.ac.in
,,,,,
"CollegeofEngineering,Thiruvananthapuram(TVE)",code_set.php?code=VFZF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VFZF,DR.JIJIC.V,4712515502,principal@cet.ac.in
,,,,,
"GovernmentEngineeringCollege,Wayanad(WYD)",code_set.php?code=V1lE,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=V1lE,DR.ABDULHAMEEDKM,4935271261,principal@gecwyd.ac.in
,,,,,
"CollegeofEngineering,Adoor(ADR)",code_set.php?code=QURS,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QURS,DR.JAYASREEVK,4734230640,principal@cea.ac.in
,,,,,
"CollegeofEngineeringofAranmula,Pathanamthitta(AEC)",code_set.php?code=QUVD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QUVD,DR.SAJEEVVASUDEVAN,4682319131,principal@cearanmula.ac.in
,,,,,
"CollegeofEngineering,Attingal(CEA)",code_set.php?code=Q0VB,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0VB,DRSUNILTT,4712726400,ceattingal@ihrd.ac.in
,,,,,
"CollegeofEngineering,Cherthala(CEC)",code_set.php?code=Q0VD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0VD,DR.MINIM.G,4782553416,principal@cectl.ac.in
,,,,,
"CollegeofEngineering,Kottarakkara,Kollam(CEK)",code_set.php?code=Q0VL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0VL,DR.BHADRANV,4742458764,bhadranv@yahoo.co.in
,,,,,
"CollegeofEngineeringMuttathara,Thiruvananthapuram(CEM)",code_set.php?code=Q0VN,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0VN,PRO.DR.GLVALSALA,4712500211,principal.cemt@gmail.com
,,,,,
"CollegeofEngineering,Chengannoor(CHN)",code_set.php?code=Q0hO,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0hO,DR.JACOBTHOMASV,4792456046,principal@ceconline.edu
,,,,,
"CollegeofEngineeringKidangoor,KOTTAYAM(KGR)",code_set.php?code=S0dS,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S0dS,DR.K.GVISWANADHAN,4822255056,cekcape@gmail.com
,,,,,
"CollegeofEngineering,Karunagappally,Kollam(KNP)",code_set.php?code=S05Q,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S05Q,DR.JAYAVL,4762666160,principal@ceknpy.ac.in
,,,,,
"LBSCollegeofEngineering,Kasaragod(KSD)",code_set.php?code=S1NE,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S1NE,DR.MOHAMMEDSHEKOORT,4994251800,principallbscek@gmail.com
,,,,,
"LBSInstituteofTechnologyforWomen,Thiruvananthapuram(LBT)",code_set.php?code=TEJU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TEJU,DR.JAYAMOHAN.J,4712343395,principal@lbsitw.ac.in
,,,,,
"ModelEngineeringCollege,Ernakulam(MDL)",code_set.php?code=TURM,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TURM,DR.VINUTHOMAS,4842575592,principal@mec.ac.in
,,,,,
"CollegeofEngineering,Munnar(MNR)",code_set.php?code=TU5S,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TU5S,DR.BIJUVG,4865230606,bvgpillai@gmail.com
,,,,,
"CollegeofEngineeringPathanapuram,Kollam(PEC)",code_set.php?code=UEVD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UEVD,PROF.DRANANDARESMIS,4752022810,principal.pathanapuram@gmail.com
,,,,,
"CollegeofEngineeringPoonjar,Kottayam(PJR)",code_set.php?code=UEpS,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UEpS,DR.JAYACHANDRANES,4822271737,cepoonjar.ihrd@gmail.com
,,,,,
"CollegeofEngineeringPerumon,Kollam(PRN)",code_set.php?code=UFJO,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UFJO,DRZAZOYA,4742550400,principal@perumonec.ac.in
,,,,,
CollegeofEngineeringandManagementPunnnapra(PRP),code_set.php?code=UFJQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UFJQ,DR.ROOBINV.VARGHESE,4772266711,principal.cemp@gmail.com
,,,,,
"CollegeofEngineering,Kallooppara(PTA)",code_set.php?code=UFRB,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UFRB,DRDEEPAJ,4692677890,engpta@gmail.com
,,,,,
"SCTCollegeofEngineering,Thiruvananthapuram(SCT)",code_set.php?code=U0NU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0NU,DR.K.PRABHAKARANNAIR,4712490572,principal@sctce.ac.in
,,,,,
"CollegeofEngineering,Trikaripur(TKR)",code_set.php?code=VEtS,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VEtS,DR.VINODPOTTAKULATH,4672250977,principal@cetkr.ac.in
,,,,,
"CollegeofEngineering,Thalassery,Kannur(TLY)",code_set.php?code=VExZ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VExZ,DR.OAJOSEPH,4902307190,principal@cethalassery.ac.in
,,,,,
"InstituteofEngineeringandTechnology,Malappuram(UCC)",code_set.php?code=VUND,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VUND,DR.SURESANPARETH,4942400223,principal@cuiet.info
,,,,,
"UniversityCollegeofEngineering,Thodupuzha(UCE)",code_set.php?code=VUNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VUNF,GEETHAMMAVG,4862256534,principal@ucet.ac.in
,,,,,
"UniversityCollegeofEngineering,Kariavattom,Thiruvananthapuram(UCK)",code_set.php?code=VUNL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VUNL,DRZASAMITHA,4712308874,uceprincipal@yahoo.com
,,,,,
"CollegeofEngineering,Vadakara(VDA)",code_set.php?code=VkRB,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VkRB,PROF.DR.N.K.NARAYANAN,4962536125,citvcape@gmail.com
,,,,,
"Al-AzharCollegeofEngineeringandTechnology,Idukki(AAE)",code_set.php?code=QUFF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QUFF,DR.A.KHARIMKUTTY,4862227944,principalaacet@gmail.com
,,,,,
"Al-AmeenEngineeringCollege,Palakkad(AAP)",code_set.php?code=QUFQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QUFQ,DR.KGEETHA,9946106373,principal@alameencollege.com
,,,,,
"ArchanaCollegeofEngineering,Alappuzha(ACE)",code_set.php?code=QUNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QUNF,-,-,-
,,,,,
"AlbertianInstituteofScienceandTechnology,Kochi(AIK)",code_set.php?code=QUlL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QUlL,DR.PHILIPKURIAN,4842540360,principal@aisat.ac.in
,,,,,
"AmalJyothiCollegeofEngineering,Kottayam(AJC)",code_set.php?code=QUpD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QUpD,DR.ZVLAKAPARAMPIL,9072661602,principal@amaljyothi.ac.in
,,,,,
"AmminiCollegeofEngineering,Palakkad(AME)",code_set.php?code=QU1F,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QU1F,DRSURESHKUMARV,4912875204,principal@ammini.edu.in
,,,,,
"AryanetInstituteofTechnology,Palakkad(ANE)",code_set.php?code=QU5F,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QU5F,DRMRVIKRAMAN,4912832488,dir.acad@aitpalakkad.org
,,,,,
"AdiShankaraInstituteofEngineeringandTechnology,Ernakulam(ASI)",code_set.php?code=QVNJ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QVNJ,DRNEELAKANTANPC,4842461933,principal@adishankara.ac.in
,,,,,
"AhaliaSchoolofEngineeringandTechnology,Palakkad(ATP)",code_set.php?code=QVRQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QVRQ,DR.BGVISHNURAM,4923226666,principal.aset@ahalia.edu.in
,,,,,
"AWHEngineeringCollege,Kozhikkode(AWH)",code_set.php?code=QVdI,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QVdI,DR.SABEENAMV,9446516393,info@awhengg.org
,,,,,
"AxisCollegeofEngineeringandTechnology,Thrissur(AXE)",code_set.php?code=QVhF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QVhF,DRDEVARAJJ,4802744504,axisprincipal@gmail.com
,,,,,
"BishopJeromeInstitute,Kollam(BJK)",code_set.php?code=QkpL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QkpL,DR.SOOSANJPANICKER,4742764051,susanjpanicker@gmail.com
,,,,,
"BaseliosMathewsIICollegeofEngineering,Kollam(BMC)",code_set.php?code=Qk1D,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Qk1D,DR.L.PADMASURESH,4762835579,padmasuresh77@gmail.com
,,,,,
"BaseliosThomasICatholicoseCollegeofEngineeringandTechnology,Ernakulam(BTE)",code_set.php?code=QlRF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=QlRF,DR.TRJERALDBENO,4852275481,principal@btcc.ac.in
,,,,,
"ChristCollegeofEngineering,Thrissur(CCE)",code_set.php?code=Q0NF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0NF,DR.SAJEEVJOHN,4802825355,sajeevjohn@yahoo.com
,,,,,
"CochinCollegeofEngineeringandTechnology,Malappuram(CCV)",code_set.php?code=Q0NW,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0NW,DRALAVIKUNHUPANTHAKKAN,4942640172,principal@cochincet.ac.in
,,,,,
"CollegeofEngineeringandTechnology,Payyanur(CEN)",code_set.php?code=Q0VO,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0VO,DR.YAJNHESWARANB,4985279842,yajneshholla@gmail.com
,,,,,
"CochinInstituteofScienceandTechnology,Ernakulam(CIM)",code_set.php?code=Q0lN,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0lN,DRSRDEEPA,4852877444,principal.cisat@gmail.com
